planning_area,destination,ett ave,
PAYA LEBAR,SINGAPORE GENERAL HOSPITAL,58,
RIVER VALLEY,CITY HALL,20,
RIVER VALLEY,ION ORCHARD,19,
RIVER VALLEY,SINGAPORE GENERAL HOSPITAL,20,
ROCHOR,CITY HALL,19,
ROCHOR,ION ORCHARD,23,
ROCHOR,SINGAPORE GENERAL HOSPITAL,18,
SELETAR,CITY HALL,78,
SELETAR,ION ORCHARD,73,
SELETAR,SINGAPORE GENERAL HOSPITAL,71,
SENGKANG,CITY HALL,46,
SENGKANG,ION ORCHARD,50,
SENGKANG,SINGAPORE GENERAL HOSPITAL,45,
SERANGOON,CITY HALL,43,
SERANGOON,ION ORCHARD,37,
SERANGOON,SINGAPORE GENERAL HOSPITAL,43,
CLEMENTI,CITY HALL,30,
CLEMENTI,ION ORCHARD,34,
CLEMENTI,SINGAPORE GENERAL HOSPITAL,23,
TOA PAYOH,CITY HALL,32,
TOA PAYOH,ION ORCHARD,27,
TOA PAYOH,SINGAPORE GENERAL HOSPITAL,38,
SINGAPORE RIVER,CITY HALL,27,
SINGAPORE RIVER,ION ORCHARD,22,
SINGAPORE RIVER,SINGAPORE GENERAL HOSPITAL,19,
SUNGEI KADUT,CITY HALL,67,
SUNGEI KADUT,ION ORCHARD,62,
SUNGEI KADUT,SINGAPORE GENERAL HOSPITAL,82,
YISHUN,CITY HALL,35,
YISHUN,ION ORCHARD,30,
YISHUN,SINGAPORE GENERAL HOSPITAL,46,
,,,
CITY HALL,"City Hall MRT Station (NS25/EW13), 150 North Bridge Rd, Singapore 179100",,
ION ORCHARD,"ION Orchard, 2 Orchard Turn, Singapore 238801",,
SINGAPORE GENERAL HOSPITAL,"Singapore General Hospital, Outram Rd, Singapore 169608",,
PIONEER,"Pioneer, 2 Pandan Ave, Singapore 609382",,
