BusStopCode,RoadName,Description,Latitude,Longitude,planning_area
22461,Pioneer Rd Nth,Opp Blk 653B,1.33596194443399,103.6962049999685,JURONG WEST
22469,Pioneer Rd Nth,Blk 653B,1.33649062479414,103.69631873743737,JURONG WEST
22471,Upp Jurong Rd,Bef Jurong West St 93,1.33509047686273,103.6931453983202,JURONG WEST
22479,Upp Jurong Rd,Aft Jurong West St 93,1.33474242487786,103.693102645977,JURONG WEST
22481,Jurong West Ctrl 1,Blk 691A CP,1.3424622384747,103.70554089546958,JURONG WEST
22489,Jurong West Ctrl 1,Blk 683A,1.34258460261,103.70536833792208,JURONG WEST
22491,Jurong West St 64,Blk 662D,1.336702,103.705146,JURONG WEST
22499,Jurong West St 64,Opp Blk 662C,1.337187,103.704805,JURONG WEST
22501,Jurong West St 63,Blk 662A,1.33769199118033,103.70297133237952,JURONG WEST
22509,Jurong West St 63,Blk 664C,1.33799405073941,103.70323491142736,JURONG WEST
22511,Jurong West St 63,Blk 658C,1.33746181720219,103.70029665103546,JURONG WEST
22519,Jurong West St 63,Blk 608,1.33773359608761,103.6999522210238,JURONG WEST
22521,Jurong West St 63,Pioneer Stn Exit A,1.33741647896432,103.69776790191162,JURONG WEST
22529,Jurong West St 63,Pioneer Stn Exit B,1.33777262767008,103.69728617102128,JURONG WEST
22531,Jurong West St 61,Opp Jurong West Pr Sch,1.33922673310366,103.6981437537688,JURONG WEST
22539,Jurong West St 61,Jurong West Pr Sch,1.33919523713654,103.69838678279568,JURONG WEST
22541,Boon Lay Way,Blk 655,1.33496804809618,103.69761016575691,JURONG WEST
22549,Boon Lay Way,Opp Blk 655 CP,1.33463563122766,103.69795361380136,JURONG WEST
22551,Boon Lay Way,Blk 657,1.33498204269222,103.70065616150622,JURONG WEST
22559,Boon Lay Way,Opp Blk 657 CP,1.33465462202129,103.70101403397048,JURONG WEST
22561,Boon Lay Way,Blk 660 Cp,1.33497038465954,103.704144267721,JURONG WEST
22569,Boon Lay Way,Opp Blk 660 CP,1.33464939590143,103.70458203446964,JURONG WEST
22591,Jurong West St 64,Blk 670A,1.3447589,103.70289,JURONG WEST
22599,Jurong West St 64,Blk 678D,1.3443608,103.7034508,JURONG WEST
22609,Soon Lee Rd,Soon Lee Bus Pk,1.33048210252836,103.69830144019608,JURONG WEST
23011,Jln Ahmad Ibrahim,Carrier Transicold P/L,1.32240518497889,103.69250829071932,PIONEER
23019,Jln Ahmad Ibrahim,Nippon Paint,1.32302099996901,103.69256700002228,PIONEER
23021,Jln Ahmad Ibrahim,Aft Benoi Sector,1.32243595181684,103.6851860612218,PIONEER
23029,Jln Ahmad Ibrahim,Stamford Tyre,1.32302194442237,103.68622888892132,PIONEER
23031,Jln Ahmad Ibrahim,Bef Benoi Flyover,1.32239543114794,103.68099108399514,PIONEER
23039,Jln Ahmad Ibrahim,Aft Benoi Flyover,1.32303111111252,103.68151388887642,PIONEER
23041,Upp Jurong Rd,Opp Jurong Camp,1.33334088691759,103.69055967203332,JURONG WEST
23049,Upp Jurong Rd,Jurong Camp,1.33410764081742,103.69061140570352,JURONG WEST
23051,Upp Jurong Rd,Bef Kian Teck Rd,1.33168972198862,103.68928138898715,JURONG WEST
23059,Upp Jurong Rd,Aft Kian Teck Rd,1.33071284667323,103.68813759846915,JURONG WEST
23061,Upp Jurong Rd,Aft Kian Teck Rd,1.329527778021,103.68652222202904,JURONG WEST
23069,Upp Jurong Rd,Bef Kian Teck Rd,1.32989950511553,103.68582019131011,JURONG WEST
23071,Upp Jurong Rd,Opp SAFTI Military Inst,1.32977056006705,103.68257796013836,JURONG WEST
23079,Upp Jurong Rd,SAFTI Military Inst,1.33017908917854,103.68181544225692,JURONG WEST
23081,Upp Jurong Rd,Opp S'pore Discovery Ctr,1.33011660553179,103.67826798978072,PIONEER
23089,Upp Jurong Rd,S'pore Discovery Ctr,1.330433728881,103.67843466317233,JURONG WEST
23091,Lok Yang Way,Nippon,1.32451861639004,103.69276227893867,PIONEER
23099,Lok Yang Way,Bef First Lok Yang Rd,1.32467117178875,103.69286142759196,PIONEER
23101,Lok Yang Way,Auto World Care,1.32453472201272,103.69091333299924,PIONEER
23109,Lok Yang Way,Aft Third Lok Yang Rd,1.32468138902865,103.69068388898825,PIONEER
23111,Lok Yang Way,Bef Fourth Lok Yang Rd,1.32454666699618,103.68836472199122,PIONEER
23119,Lok Yang Way,Aft Fourth Lok Yang Rd,1.32467561470377,103.68847743952205,PIONEER
23121,Lok Yang Way,Opp Leroy-Somer,1.32454951872062,103.68564634652004,PIONEER
23129,Lok Yang Way,Leroy-Somer,1.32468096678984,103.6855876219644,PIONEER
23131,Sixth Lok Yang Rd,MES Logistic Hub,1.32537111100949,103.684046944028,PIONEER
23139,Sixth Lok Yang Rd,Bef Lok Yang Way,1.32517166702255,103.68414777801723,PIONEER
23141,Sixth Lok Yang Rd,Opp Varco,1.32666880692569,103.68401506144215,PIONEER
23149,Sixth Lok Yang Rd,Varco,1.32683034567488,103.68416474851742,PIONEER
23151,Intl Rd,Containers Printers,1.32788229015066,103.68483459543562,JURONG WEST
23159,Intl Rd,Aft Fifth Lok Yang Rd,1.32766374044406,103.68563350571776,PIONEER
23161,Intl Rd,Aft Kian Teck Rd,1.3278839556405,103.68869472049072,JURONG WEST
23169,Intl Rd,Bef Kian Teck Rd,1.32768833297607,103.6886763890102,PIONEER
23171,Intl Rd,SKK (S) Pte Ltd,1.32789603640425,103.69118969248986,JURONG WEST
23179,Intl Rd,Aft Second Lok Yang Rd,1.32767284372911,103.69102029335356,PIONEER
23181,Intl Rd,Aft Kian Teck Rd,1.32790305599387,103.69448861100469,JURONG WEST
23189,Intl Rd,Bef First Lok Yang Rd,1.32764459746447,103.69397532297508,PIONEER
23191,Benoi Sector,Opp S'Pore Trspt Pte Ltd,1.31966145615591,103.6836276514436,PIONEER
23199,Benoi Sector,S'Pore Trspt Pte Ltd,1.31951264524841,103.68312351699184,PIONEER
23201,Benoi Sector,Opp Shimano Pte Ltd,1.31964589958011,103.68628552653574,PIONEER
23209,Benoi Sector,Aft Shimano Pte Ltd,1.31950327084795,103.6857761424996,PIONEER
23211,Benoi Sector,Mapletree Logistics Hub,1.31792061914698,103.6892047185557,PIONEER
23219,Benoi Sector,Tru-Marine,1.31832727349422,103.68852528629336,PIONEER
23221,Pioneer Rd,Aft Gul Way,1.30896659624814,103.67178095052478,PIONEER
23229,Pioneer Rd,Opp Gul Way,1.30868757581216,103.67180644651503,PIONEER
23231,Pioneer Rd,Keppel Logistics,1.30926499998419,103.67491833296832,PIONEER
23239,Pioneer Rd,Opp Keppel Logistics,1.309154,103.675189,PIONEER
23241,Pioneer Rd,Aft Benoi Rd,1.3102543597714,103.67981162071216,PIONEER
23249,Pioneer Rd,Bef Benoi Rd,1.30990348653039,103.67948846644916,PIONEER
