BusStopCode,RoadName,Description,Latitude,Longitude,planning_area
1012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006,ROCHOR
1013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225,ROCHOR
1019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507,DOWNTOWN CORE
1029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.85441422464268,DOWNTOWN CORE
1039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837408,DOWNTOWN CORE
1059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457584,DOWNTOWN CORE
1109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224,ROCHOR
1112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814,ROCHOR
1113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393,DOWNTOWN CORE
1119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571,DOWNTOWN CORE
1121,Victoria St,Stamford Pr Sch,1.30393809691048,103.85867999243207,ROCHOR
1129,Victoria St,Opp Stamford Pr Sch,1.30350269187301,103.85864530718491,ROCHOR
1139,Nth Bridge Rd,Bugis Stn/Parkview Sq,1.30033057855542,103.857160806659,DOWNTOWN CORE
1211,Victoria St,Opp Blk 461,1.30551803523268,103.8605449516032,KALLANG
1219,Victoria St,Blk 461,1.30526598535719,103.86072019914616,KALLANG
1229,Nth Bridge Rd,Bef Sultan Mque,1.30337552638813,103.85963089198265,ROCHOR
1231,Jln Sultan,Opp Textile Ctr,1.3032499999752,103.8610830559663,ROCHOR
1239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134,KALLANG
1311,Kallang Rd,Lavender Stn Exit B,1.3070916463394,103.86219695240972,KALLANG
1319,Kallang Rd,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476,KALLANG
1329,Nth Bridge Rd,Blk 8,1.30495670239172,103.86363028484124,KALLANG
1339,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441,KALLANG
1341,Crawford St,Southbank,1.30647555600578,103.86452527798744,KALLANG
1349,Crawford St,Opp Blk 4,1.30568635716829,103.86543994417885,KALLANG
1411,Beach Rd,Opp St. John HQ,1.30211332865049,103.86295598167332,KALLANG
1419,Beach Rd,St. John HQ,1.3020199999911,103.86326333301204,DOWNTOWN CORE
1421,Beach Rd,Opp Golden Mile Cplx,1.30338444400173,103.8648388889864,KALLANG
1429,Beach Rd,Golden Mile Cplx,1.3032136089394,103.86501584807765,DOWNTOWN CORE
1511,Beach Rd,Opp The Gateway,1.29919826103807,103.85864518302436,DOWNTOWN CORE
1519,Beach Rd,The Gateway,1.29907492488417,103.8589102973441,DOWNTOWN CORE
1521,Beach Rd,Opp Plaza Parkroyal,1.30088304437602,103.86066098182194,ROCHOR
1529,Beach Rd,Plaza Parkroyal,1.30041667676526,103.86044115259938,DOWNTOWN CORE
1541,Rochor Rd,Bugis Stn Exit D,1.29886465442254,103.85734583628746,DOWNTOWN CORE
1549,Ophir Rd,Opp Duo Residences,1.30069868861162,103.85873120467068,ROCHOR
1559,Ophir Rd,Landmark Village Hotel,1.30168731070562,103.85752923961614,ROCHOR
1611,Beach Rd,Aft Raffles Hotel,1.29527259171342,103.85533686181174,DOWNTOWN CORE
1619,Beach Rd,Esplanade Stn Exit F,1.29428694178246,103.85503809424232,DOWNTOWN CORE
1621,Beach Rd,Opp Shaw Twrs,1.29695888888745,103.85655611109846,DOWNTOWN CORE
1629,Beach Rd,Shaw Twrs,1.297085,103.856894,DOWNTOWN CORE
1631,Middle Rd,Aft Beach Rd,1.29693614589482,103.85580555528075,DOWNTOWN CORE
1639,Middle Rd,Bef Beach Rd,1.29738750001468,103.85557583297624,DOWNTOWN CORE
2029,Esplanade Dr,Aft Esplanade Stn Exit D,1.290106,103.85464,DOWNTOWN CORE
2049,Bras Basah Rd,Raffles Hotel,1.29452091230981,103.85402155505172,DOWNTOWN CORE
2051,Raffles Ave,The Float @ Marina Bay,1.289503056,103.8590339,DOWNTOWN CORE
2061,Raffles Ave,The Esplanade,1.2899638888957,103.85640388886262,DOWNTOWN CORE
2089,Raffles Blvd,Promenade Stn/Pan Pacific,1.29152694444975,103.8592061110504,DOWNTOWN CORE
2099,Raffles Blvd,Marina Ctr Ter,1.29147264805943,103.8614855838078,DOWNTOWN CORE
2101,Raffles Ave,Aft S'pore Flyer,1.28938483786533,103.86183148116277,DOWNTOWN CORE
2111,Esplanade Dr,Esplanade Bridge,1.29095592348389,103.85453419435228,DOWNTOWN CORE
2119,Nicoll Highway,Opp War Memorial Pk,1.29184407356581,103.85534334305083,DOWNTOWN CORE
2141,Temasek Blvd,Suntec Twr Two,1.29576571603037,103.85933814632858,DOWNTOWN CORE
2149,Temasek Blvd,Suntec Twr Three,1.29560459817725,103.85955533029184,DOWNTOWN CORE
2151,Temasek Blvd,Suntec Convention Ctr,1.29317776320814,103.85784623004032,DOWNTOWN CORE
2159,Temasek Blvd,Opp Suntec Convention Ctr,1.29360811227161,103.85840672828635,DOWNTOWN CORE
2161,Temasek Ave,Aft Promenade Stn Exit C,1.29268553508737,103.86093156188176,DOWNTOWN CORE
2169,Temasek Ave,Promenade Stn Exit B,1.29333836780589,103.86070849052751,DOWNTOWN CORE
2171,Temasek Ave,Opp The Ritz-Carlton,1.29070000003898,103.86092194446034,DOWNTOWN CORE
2181,Parliament Pl,Supreme Ct,1.28947444402148,103.85098166700016,DOWNTOWN CORE
3011,Fullerton Rd,Fullerton Sq,1.28561840945474,103.85342223246428,DOWNTOWN CORE
3019,Collyer Quay,OUE Bayfront,1.284245000013,103.853108055996,DOWNTOWN CORE
3021,Cecil St,Prudential Twr,1.28255524603003,103.84998903789258,DOWNTOWN CORE
3031,Robinson Rd,Raffles Pl Stn Exit F,1.28207492207952,103.85086074925066,DOWNTOWN CORE
3041,Cross St,Telok Ayer Stn Exit A,1.28179509394707,103.84893207391676,OUTRAM
3059,Raffles Quay,One Raffles Quay,1.281111,103.851461,DOWNTOWN CORE
3071,Robinson Rd,80 Robinson Rd,1.27990609626764,103.8494003042448,DOWNTOWN CORE
3111,Robinson Rd,Aft Capital Twr,1.2778259536079,103.8481011719729,DOWNTOWN CORE
3129,Shenton Way,UIC Bldg,1.27807003532092,103.84956718123824,DOWNTOWN CORE
3151,Cecil St,Opp GB Bldg,1.27892124625262,103.84776234627124,DOWNTOWN CORE
3217,Shenton Way,Opp AXA Twr,1.27552218897645,103.8479443674916,DOWNTOWN CORE
3218,Shenton Way,Opp MAS Bldg,1.2740788888387,103.84687388890411,DOWNTOWN CORE
3222,Anson Rd,Hub Synergy Pt,1.27397836925637,103.84489562922414,DOWNTOWN CORE
3223,Anson Rd,Tanjong Pagar Stn Exit C,1.2757033952327,103.84632468221952,DOWNTOWN CORE
3239,Shenton Way,Shenton Way Ter,1.27464226961973,103.84756721372408,DOWNTOWN CORE
3241,Anson Rd,Mapletree Anson,1.27456,103.84537,DOWNTOWN CORE
3331,Marina Blvd,Bef Marina Gdns Dr,1.27663307202767,103.86076808024792,MARINA SOUTH
3339,Central Blvd,Aft Marina Gdns Dr,1.27498516412784,103.85950016250489,STRAITS VIEW
3341,Marina Gdns Dr,Bef Gdns by the Bay,1.27959780011944,103.8643376844082,MARINA SOUTH
3349,Marina Gdns Dr,Aft Gdns by the Bay,1.27965600609923,103.8647780795552,MARINA SOUTH
3361,Marina Gdns Dr,GARDENS BY THE BAY STN EXIT 2,1.279917,103.868895,MARINA SOUTH
3369,Marina Gdns Dr,GARDENS BY THE BAY STN EXIT 1,1.27960772061959,103.8698744774074,MARINA SOUTH
3371,Marina Gdns Dr,Gdns by the Bay,1.28066479303461,103.86626955523418,MARINA SOUTH
3381,Marina Blvd,The Sail,1.28162601329006,103.85306513725683,DOWNTOWN CORE
3391,Marina Blvd,Marina Bay Financial Ctr,1.28037660340352,103.85498006767988,DOWNTOWN CORE
3411,Marina Coastal Dr,Opp Marina Sth Pier Stn,1.27159299884076,103.86300900488229,STRAITS VIEW
3419,Marina Coastal Dr,Marina Sth Pier Stn,1.27127698470973,103.86297693157816,STRAITS VIEW
3421,Marina Coastal Dr,Marina Bay Cruise Ctr,1.26694090294712,103.85964778134668,STRAITS VIEW
3501,Bayfront Ave,Marina Bay Sands Theatre,1.28500467671367,103.8606110538643,DOWNTOWN CORE
3509,Bayfront Ave,Bayfront Stn Exit B/MBS,1.28314999997332,103.86004388891767,DOWNTOWN CORE
3511,Bayfront Ave,Aft Bayfront Stn Exit E,1.28194779470571,103.85897064872482,DOWNTOWN CORE
3519,Bayfront Ave,Bayfront Stn Exit A,1.28124500000125,103.85884799997385,DOWNTOWN CORE
3529,Central Blvd,Downtown Stn Exit E,1.27939957419063,103.85278769921705,DOWNTOWN CORE
3539,Central Blvd,Marina Bay Stn,1.2775330547661,103.85561610012866,DOWNTOWN CORE
3549,Park Street,Shenton Way Stn Exit 3,1.277728,103.85045,DOWNTOWN CORE
3579,Straits view,Opp Downtown Stn,1.278832,103.852918,DOWNTOWN CORE
4019,Bencoolen St,OPP BENCOOLEN STN EXIT B,1.29807216909408,103.84975607305785,MUSEUM
4029,Bencoolen St,BEF BENCOOLEN STN EXIT A,1.29948166696821,103.8509266670124,ROCHOR
4111,Stamford Rd,Capitol Bldg,1.29395444170081,103.85139096636622,DOWNTOWN CORE
4121,Stamford Rd,SMU,1.29618544092334,103.84958029974612,MUSEUM
4142,Hill St,Armenian Ch,1.2930982644668,103.84965994500728,MUSEUM
4143,Hill St,Stamford Ct,1.29411640848293,103.85020606905503,MUSEUM
4149,Hill St,Grand Pk City Hall,1.29276132399953,103.84983741344308,DOWNTOWN CORE
4151,Victoria St,Cath Of The Good Shepherd,1.29533777799211,103.8511397219812,MUSEUM
4159,Victoria St,Aft Chijmes,1.29489484954945,103.85108138663934,DOWNTOWN CORE
4167,Nth Bridge Rd,City Hall Stn Exit B,1.29250006522444,103.85145315468638,DOWNTOWN CORE
4168,Nth Bridge Rd,Aft City Hall Stn Exit B,1.29208221483052,103.85125994680256,DOWNTOWN CORE
4179,Bras Basah Rd,Aft Bras Basah Stn Exit A,1.29647916306741,103.85147164487202,MUSEUM
4211,River Valley Rd,Clarke Quay,1.29043611099357,103.84712444398056,SINGAPORE RIVER
4219,River Valley Rd,Opp Clarke Quay,1.29096802754795,103.84686777836988,MUSEUM
4222,Eu Tong Sen St,Clarke Quay Stn Exit E,1.28898962180798,103.84708976365567,SINGAPORE RIVER
4223,Hill St,Old Hill St Police Stn,1.29084476137495,103.84857901022669,MUSEUM
4229,Hill St,High St Ctr,1.29044830830726,103.84875123545264,DOWNTOWN CORE
4239,New Bridge Rd,Opp Clarke Quay Stn,1.28882717929599,103.8474938118651,SINGAPORE RIVER
4249,Nth Bridge Rd,Opp The Treasury,1.29043039362749,103.850262165082,DOWNTOWN CORE
4251,Nth Boat Quay,Opp High St Ctr,1.28973833297563,103.84888472198024,DOWNTOWN CORE
4311,Clemenceau Ave,Aft River Valley Rd,1.29464575337351,103.8439214229312,MUSEUM
4321,Clemenceau Ave,UE Sq,1.2921400077773,103.8430364619106,SINGAPORE RIVER
4329,Clemenceau Ave,Opp UE Sq,1.29197057108024,103.84328384973516,SINGAPORE RIVER
4331,River Valley Rd,BEF FORT CANNING STN,1.29183939431601,103.84504089382705,SINGAPORE RIVER
4339,River Valley Rd,FORT CANNING STN EXIT B,1.29221099996741,103.8450050000296,MUSEUM
5012,Eu Tong Sen St,Bef Pearl'S Hill Terr,1.28154583300728,103.840877221995,OUTRAM
5013,Eu Tong Sen St,Chinatown Stn Exit C,1.28406979945936,103.84299874303984,OUTRAM
5019,New Bridge Rd,Aft Duxton Plain Pk,1.28118388885484,103.84105000000471,OUTRAM
5022,Eu Tong Sen St,Aft Chinatown Stn Exit D,1.28571089865595,103.84437203405348,OUTRAM
5023,Eu Tong Sen St,Opp Hong Lim Pk,1.28692928357498,103.84540375642476,SINGAPORE RIVER
5029,Sth Bridge Rd,Boat Quay,1.28712283362119,103.84819780822524,SINGAPORE RIVER
5039,New Bridge Rd,New Bridge Ctr,1.28293819129834,103.84254276754574,OUTRAM
5049,New Bridge Rd,Chinatown Stn Exit E,1.28531114761754,103.84455070696784,OUTRAM
5059,New Bridge Rd,Hong Lim Pk,1.28676420118491,103.84575036447065,SINGAPORE RIVER
5069,New Bridge Rd,OUTRAM PK STN EXIT 4,1.28027629959632,103.84029791443083,OUTRAM
5129,Upp Pickering St,Opp One Upp Pickering,1.28601166699569,103.84634666701145,SINGAPORE RIVER
5131,Upp Cross St,Opp Hong Lim Cplx,1.284073056,103.8453381,OUTRAM
5189,Sth Bridge Rd,Opp Sri Mariamman Tp,1.2820913960391,103.84528061446952,OUTRAM
5199,Sth Bridge Rd,Opp Hong Lim Cplx,1.28451455846092,103.84666049314173,OUTRAM
5239,Neil Rd,Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013,OUTRAM
5241,Kreta Ayer Rd,Opp Blk 333,1.28071988238536,103.84227488654868,OUTRAM
5259,Neil Rd,OPP MAXWELL STN EXIT 3,1.27979447837032,103.84262707605176,OUTRAM
5269,Sth Bridge Rd,MAXWELL STN EXIT 2,1.280894,103.844567,DOWNTOWN CORE
5271,Tg Pagar Rd,Opp Fairfield Meth Ch,1.27975329525167,103.84382212419122,OUTRAM
5319,Church St,OCBC Ctr,1.284437,103.849114,DOWNTOWN CORE
5411,Tg Pagar Rd,Tg Pagar Plaza,1.27519165673078,103.84309190393884,OUTRAM
5419,Tg Pagar Rd,The Amara,1.27470669455555,103.84318683838887,DOWNTOWN CORE
5421,Tg Pagar Rd,Aft Craig Rd,1.27777470568529,103.84346347289252,OUTRAM
5429,Tg Pagar Rd,Bef Craig Rd,1.27769413050075,103.84370654372523,OUTRAM
5431,Hoe Chiang Rd,Aft Tanjong Pagar Rd,1.27408,103.8420461,DOWNTOWN CORE
5519,Cantonment Rd,Blk 1G,1.27553472200739,103.84112694400494,OUTRAM
5521,Cantonment Rd,Maritime Hse,1.27676861098316,103.84059222200348,BUKIT MERAH
5629,Cantonment Rd,Opp Southpoint,1.273211389,103.84187,DOWNTOWN CORE
5631,Cantonment Link,Blk 16,1.27346055934188,103.84034718190608,BUKIT MERAH
5641,Keppel Rd,Bef Cantonment Rd,1.27272393115133,103.84140618785226,BUKIT MERAH
5649,Keppel Rd,Opp Customs Port Br HQ,1.2723842122117,103.84093912218094,BUKIT MERAH
5651,Tg Pagar Rd,Opp Fuji Xerox Twrs,1.273218611,103.8430731,DOWNTOWN CORE
6011,Outram Rd,OUTRAM PK STN EXIT 7,1.28165999996967,103.83801388886192,BUKIT MERAH
6029,Outram Rd,OUTRAM PK STN EXIT 1,1.28177041153491,103.8383828488293,OUTRAM
6031,Chin Swee Rd,Opp Blk 13,1.28607055552165,103.83879166662209,OUTRAM
6039,Chin Swee Rd,Blk 8,1.28705997883119,103.83962555611691,OUTRAM
6049,Outram Rd,BEF OUTRAM FLYOVER,1.28474856880259,103.83517705055232,OUTRAM
6051,Tiong Bahru Rd,Blk 55,1.28475980959972,103.83405671725488,BUKIT MERAH
6069,Outram Rd,Aft Furama RiverFront,1.28623157720487,103.83496162445664,OUTRAM
6071,Zion Rd,HAVELOCK STN EXIT 2,1.28685859481289,103.83360028266564,BUKIT MERAH
6081,Zion Rd,HAVELOCK STN EXIT 3,1.28837086415387,103.83349881780524,BUKIT MERAH
6129,Kim Seng Rd,Grand Copthorne Hotel,1.29078162052352,103.83440916705554,SINGAPORE RIVER
6131,Zion Rd,Aft Blk 87,1.29152472200833,103.83222750001508,BUKIT MERAH
6141,Havelock Rd,HAVELOCK STN EXIT 5,1.28963300933974,103.83381241921823,BUKIT MERAH
6149,Havelock Rd,HAVELOCK STN EXIT 4,1.28984045728104,103.83411526676927,BUKIT MERAH
6151,Havelock Rd,Hotel Miramar,1.28870976841461,103.83737276969174,SINGAPORE RIVER
6159,Havelock Rd,Opp Hotel Miramar,1.28909385421188,103.8368794036018,SINGAPORE RIVER
6161,Havelock Rd,Blk 2,1.28901705678419,103.83994286096711,OUTRAM
6169,Havelock Rd,River Pl Condo,1.28937078931125,103.83998944937588,SINGAPORE RIVER
6171,Upp Cross St,Opp State Ct,1.286101944,103.8425356,OUTRAM
6189,Havelock Rd,Ctrl Sq,1.28779136477868,103.8432942808956,SINGAPORE RIVER
7011,Selegie Rd,Peace Ctr,1.30099699058522,103.8498101874305,ROCHOR
7021,Selegie Rd,Selegie Ctr,1.30324521574524,103.84995776766849,ROCHOR
7031,S'goon Rd,Tekka Ctr,1.30572083298412,103.85120583303193,ROCHOR
7111,S'goon Rd,Broadway Hotel,1.30879366465919,103.8531751994068,ROCHOR
7211,S'goon Rd,Aft Farrer Pk Stn Exit G,1.31313747728456,103.8563561439714,KALLANG
7221,S'goon Rd,Sri Vadapathira K Tp,1.314966,103.857819,KALLANG
7231,Kitchener Rd,Bef Tai Hoe Hotel,1.309658889,103.8573711,KALLANG
7241,Lavender St,Bef S'Goon Rd,1.31557142083242,103.85900616698896,KALLANG
7249,Lavender St,Aft Kempas Rd,1.315368056,103.8594669,KALLANG
7319,Jln Besar,Aft Allenby Rd,1.31038833299803,103.85870666696984,KALLANG
7329,Jln Besar,Hoa Nam Bldg,1.31284472583438,103.85989088288474,KALLANG
7331,Kitchener Rd,Aft King George's Ave,1.30824994545395,103.8589096071918,KALLANG
7351,Lavender St,ARC 380,1.31351833300073,103.86054527803076,KALLANG
7359,Lavender St,OPP ARC 380,1.31368253065979,103.8607145180712,KALLANG
7361,Lavender St,Bef Kallang Bahru,1.31167636068313,103.86189483728585,KALLANG
7369,Lavender St,Aft Kallang Bahru,1.31140805601851,103.86237888899062,KALLANG
7371,Lavender St,Aft Kallang Rd,1.30950750000455,103.86350138902452,KALLANG
7379,Lavender St,Aperia/Bef Kallang Rd,1.31017336740849,103.86338225534828,KALLANG
7419,Jln Besar,Opp Veerasamy Rd,1.30653024120879,103.8561630249311,ROCHOR
7517,Bencoolen St,IBIS S'PORE ON BENCOOLEN,1.30145216158073,103.85247781934106,ROCHOR
7518,Bencoolen St,OPP NAFA CAMPUS 3,1.30095828368506,103.85211175034802,ROCHOR
7529,Jln Besar,JLN BESAR STN EXIT A,1.30431906266143,103.85501564257024,ROCHOR
7531,Rochor Canal Rd,Rochor Stn,1.30365644370093,103.8525732326128,ROCHOR
7539,Sungei Rd,Bef Rochor Stn Exit B,1.30461300741211,103.8520009720951,ROCHOR
7551,Rochor Rd,Fu Lu Shou Cplx,1.30171975809706,103.8546132267025,ROCHOR
7561,Middle Rd,Bef Waterloo St,1.29945446471936,103.85267983857251,ROCHOR
7569,Middle Rd,Aft Waterloo St,1.29949531348401,103.85301395376231,ROCHOR
7571,Middle Rd,SUNSHINE PLAZA,1.30063444632288,103.851140093146,ROCHOR
7589,Ophir Rd,Ch of Our Lady of Lourdes,1.30320609782822,103.85549999983388,ROCHOR
8011,Clemenceau Ave,Opp Haw Par Glass Twr,1.29706985017362,103.84361028672502,MUSEUM
8019,Clemenceau Ave,Aft Haw Par Glass Twr,1.29624633745957,103.84407009228418,MUSEUM
8031,Penang Rd,Dhoby Ghaut Stn Exit B,1.29831153783592,103.8452569595532,MUSEUM
8041,Orchard Rd,YMCA,1.29811014243867,103.84780636909544,MUSEUM
8057,Orchard Rd,Dhoby Ghaut Stn,1.29930997279734,103.84529021429744,MUSEUM
8058,Orchard Rd,Aft Dhoby Ghaut Stn,1.2989583431631,103.84654115271174,MUSEUM
8069,Bras Basah Rd,Bencoolen Stn Exit B,1.29821382250893,103.84936128375956,MUSEUM
8079,Prinsep St,Sch of the Arts,1.29921444445586,103.84910329217983,MUSEUM
8111,Penang Rd,Winsland Hse,1.29986928715834,103.84093746088924,ORCHARD
8121,Somerset Rd,Somerset Stn,1.30027569326586,103.83877618459664,ORCHARD
8137,Orchard Rd,Orchard Plaza,1.30073968408393,103.84100500816844,ORCHARD
8138,Orchard Rd,Concorde Hotel S'pore,1.3004785730821,103.84184700607597,ORCHARD
9011,Orchard Turn,Opp Ngee Ann City,1.30211335092372,103.83431672376756,ORCHARD
9022,Orchard Blvd,ORCHARD STN EXIT 13,1.30252834773643,103.83239784275958,RIVER VALLEY
9023,Orchard Turn,Opp Orchard Stn/ION,1.30323727330942,103.83254180023424,ORCHARD
9037,Orchard Rd,Bef Cairnhill Rd,1.3023400420296,103.83701253388185,ORCHARD
9038,Orchard Rd,Opp Somerset Stn,1.30154262450563,103.83852481842337,ORCHARD
9047,Orchard Rd,Orchard Stn/Tang Plaza,1.30446065207443,103.83294467208566,ORCHARD
9048,Orchard Rd,Orchard Stn/Lucky Plaza,1.30386684425114,103.83413070051408,ORCHARD
9059,Grange Rd,Somerset Youth Pk,1.30044251755834,103.8362380421602,ORCHARD
9111,Orchard Blvd,Opp Four Seasons Hotel,1.30453752623147,103.82914529614987,RIVER VALLEY
9121,Orchard Blvd,Bef Tomlinson Rd,1.30397379238249,103.82699645124522,RIVER VALLEY
9131,Grange Rd,OPP ORCHARD BLVD STN,1.30391999998489,103.82333805603096,TANGLIN
9139,Grange Rd,ORCHARD BLVD STN EXIT 1,1.303528,103.823585,ORCHARD
9141,Napier Rd,British Council,1.30543500002797,103.82177666702268,TANGLIN
9149,Napier Rd,Opp British Council,1.30608981381948,103.8212215023314,TANGLIN
9159,Tanglin Rd,Aft Tomlinson Rd,1.30602637557418,103.82568042620603,TANGLIN
9169,Orchard Rd,Delfi Orchard,1.3070135326348,103.82835507326035,ORCHARD
9179,Orchard Rd,Royal Thai Embassy,1.30587966240898,103.83049004618626,ORCHARD
9191,Tomlinson Rd,Aft Cuscaden Rd,1.30488653118311,103.82549755834486,ORCHARD
9212,Scotts Rd,Royal Plaza On Scotts,1.30702238421536,103.83265522662566,ORCHARD
9213,Scotts Rd,Thong Teck Bldg,1.30783805600034,103.83305083303024,ORCHARD
9219,Scotts Rd,Far East Plaza,1.30731999685228,103.833160882917,ORCHARD
10009,Bt Merah Ctrl,Bt Merah Int,1.28210155945393,103.81722480263164,BUKIT MERAH
10011,New Bridge Rd,BEF NEIL RD,1.2777380589964,103.83749709165195,BUKIT MERAH
10017,Eu Tong Sen St,Aft Hosp Dr,1.27832046633393,103.83762574759974,BUKIT MERAH
10018,Eu Tong Sen St,OUTRAM PK STN EXIT 6/SGH,1.27900819665099,103.8386036062196,BUKIT MERAH
10021,Neil Rd,Blk 3,1.27744837946643,103.83838894560752,BUKIT MERAH
10041,Kg Bahru Rd,BEF KAMPONG BAHRU TER,1.27605834770353,103.83519065305671,BUKIT MERAH
10049,Kg Bahru Rd,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772156,BUKIT MERAH
10051,Jln Bt Merah,Blk 149,1.2774116353284,103.83214410914844,BUKIT MERAH
10059,Jln Bt Merah,Opp Blk 149,1.27739664167497,103.83275178077876,BUKIT MERAH
10061,Jln Bt Merah,Blk 140,1.27860472196885,103.82948638898172,BUKIT MERAH
10069,Jln Bt Merah,Opp Blk 140,1.27855472196877,103.83008250001669,BUKIT MERAH
10071,Jln Bt Merah,Blk 111,1.28045309423663,103.82638920754816,BUKIT MERAH
10079,Jln Bt Merah,Blk 201,1.2803950142786,103.82708906887606,BUKIT MERAH
10081,Jln Bt Merah,Opp Blk 120,1.2822783541702,103.82241744338572,BUKIT MERAH
10089,Jln Bt Merah,Blk 119,1.28292332245689,103.82165660905856,BUKIT MERAH
10091,Jln Bt Merah,Bt Merah Town Ctr,1.28394108576437,103.81783962251122,BUKIT MERAH
10099,Jln Bt Merah,Opp Bt Merah Town Ctr,1.28420923932422,103.81765723225828,BUKIT MERAH
10101,Jln Bt Merah,OPP BT MERAH SEC SCH,1.28506195168861,103.8137833011436,BUKIT MERAH
10109,Jln Bt Merah,BT MERAH SEC SCH,1.28535315729277,103.81370529674273,BUKIT MERAH
10111,Jln Bt Merah,Opp Blk 28,1.28592835098556,103.80935410958448,BUKIT MERAH
10119,Jln Bt Merah,Opp Pacific Tech Ctr,1.28598009010704,103.81122515087834,BUKIT MERAH
10121,Kim Tian Rd,Blk 126 CP,1.28259924598805,103.82890541983912,BUKIT MERAH
10129,Kim Tian Rd,Blk 121,1.28231999999009,103.8285719444802,BUKIT MERAH
10131,Jln Bt Merah,Opp Blk 2,1.28619141382394,103.80686549059318,BUKIT MERAH
10139,Jln Bt Merah,Blk 1,1.28635135443034,103.8081000223439,BUKIT MERAH
10141,Tiong Bahru Rd,Blk 18,1.28583847140468,103.83238179897587,BUKIT MERAH
10149,Tiong Bahru Rd,Blk 1,1.28606797463712,103.83283384311112,BUKIT MERAH
10151,Tiong Bahru Rd,Ctrl Green Condo,1.28572048365401,103.8285292287095,BUKIT MERAH
10161,Tiong Bahru Rd,Opp Tiong Bahru Stn,1.28593135445772,103.82668969231534,BUKIT MERAH
10169,Tiong Bahru Rd,Tiong Bahru Stn,1.28599961406266,103.82748123930962,BUKIT MERAH
10171,Tiong Bahru Rd,Opp Tiong Bahru Pk,1.28736808047078,103.82346004890805,BUKIT MERAH
10179,Tiong Bahru Rd,Tiong Bahru Pk,1.28722333302937,103.82395833301354,BUKIT MERAH
10181,Tiong Bahru Rd,BEF AR-RABITAH MQUE,1.28850399420484,103.82109741719866,BUKIT MERAH
10189,Tiong Bahru Rd,Blk 104A CP,1.28858805222806,103.82183192865196,BUKIT MERAH
10191,Tiong Bahru Rd,Blk 78,1.28860026020096,103.81903121724014,BUKIT MERAH
10199,Tiong Bahru Rd,Delta Swim Cplx,1.28875723330649,103.81936618662203,BUKIT MERAH
10201,Tiong Bahru Rd,Opp Redhill Stn,1.28928144532567,103.81662854691156,BUKIT MERAH
10209,Tiong Bahru Rd,Redhill Stn,1.28954631749853,103.81672885450702,BUKIT MERAH
10211,Leng Kee Rd,Porsche Ctr S'pore,1.29075499997303,103.81144166700754,BUKIT MERAH
10219,Leng Kee Rd,Opp Motor Image,1.290835,103.81181,BUKIT MERAH
10221,Ganges Ave,Ganges Ctr,1.29032906602668,103.83111793441608,BUKIT MERAH
10229,Ganges Ave,Opp Harvest Mansions,1.29052137840164,103.83178189529583,BUKIT MERAH
10231,Ganges Ave,Blk 51 CP,1.29041850946952,103.8278810014952,BUKIT MERAH
10239,Ganges Ave,Blk 79,1.29060688839488,103.82865297447871,BUKIT MERAH
10241,Alexandra Rd,Gan Eng Seng Sec Sch,1.2906166672167,103.82362326803133,BUKIT MERAH
10249,Alexandra Rd,Opp Gan Eng Seng Sec Sch,1.29088138899671,103.82407777797806,BUKIT MERAH
10261,Alexandra Rd,Delta Sports Hall,1.29090335842692,103.82047232884216,BUKIT MERAH
10269,Alexandra Rd,Opp Delta Sports Hall,1.29125331927458,103.82057583280772,BUKIT MERAH
10271,Alexandra Rd,Opp Tanglin View,1.29115999997607,103.81757666701353,BUKIT MERAH
10279,Alexandra Rd,Tanglin View,1.29151373164978,103.81757660887745,BUKIT MERAH
10281,Alexandra Rd,SIS Bldg,1.29153833298318,103.81445166697796,BUKIT MERAH
10289,Alexandra Rd,Opp SIS Bldg,1.2918699745378,103.81440639448375,QUEENSTOWN
10291,Alexandra Rd,Opp Dawson Pl,1.29215855273858,103.81065866068086,BUKIT MERAH
10299,Alexandra Rd,Aft Dawson Pl,1.29233498466278,103.81146486767658,QUEENSTOWN
10321,Tanglin Rd,Aft Margaret Dr,1.29428332949691,103.81587839882768,QUEENSTOWN
10329,Tanglin Rd,Crescent Girls' Sch,1.29364671283262,103.81597460107542,BUKIT MERAH
10331,Henderson Rd,Bef Bt Merah Ctrl,1.28136306628839,103.81834423228644,BUKIT MERAH
10339,Henderson Rd,Aft Bt Merah Ctrl,1.28115835063292,103.81857250844853,BUKIT MERAH
