planning_area,destination,ett,ett lower (min),ett higher (min),ett ave,0
TANGLIN,ION ORCHARD,11.0,4.0,14.0,9.0,0.12248468941382329
TANGLIN,SINGAPORE GENERAL HOSPITAL,19.0,7.0,22.0,14.5,0.14607656801520497
TUAS,CITY HALL,83.0,35.0,70.0,52.5,0.21852268466441693
TUAS,ION ORCHARD,87.0,35.0,70.0,52.5,0.23892013498312714
TUAS,SINGAPORE GENERAL HOSPITAL,76.0,30.0,60.0,45.0,0.247419072615923
WESTERN ISLANDS,CITY HALL,,40.0,70.0,55.0,
WESTERN ISLANDS,ION ORCHARD,,40.0,75.0,57.5,
WESTERN ISLANDS,SINGAPORE GENERAL HOSPITAL,,35.0,65.0,50.0,
SOUTHERN ISLANDS,CITY HALL,52.0,10.0,28.0,19.0,0.5279734769995855
SOUTHERN ISLANDS,ION ORCHARD,65.0,12.0,35.0,23.5,0.5357681353660579
SOUTHERN ISLANDS,SINGAPORE GENERAL HOSPITAL,40.0,6.0,14.0,10.0,0.8661417322834645
BUKIT PANJANG,CITY HALL,47.0,20.0,35.0,27.5,0.2528274874731567
BUKIT PANJANG,ION ORCHARD,46.0,14.0,40.0,27.0,0.25138524351122776
BUKIT PANJANG,SINGAPORE GENERAL HOSPITAL,44.0,20.0,35.0,27.5,0.2236220472440945
BISHAN,CITY HALL,31.0,14.0,35.0,24.5,0.13401896191547485
BISHAN,ION ORCHARD,18.0,12.0,28.0,20.0,0.036220472440944895
BISHAN,SINGAPORE GENERAL HOSPITAL,25.0,12.0,24.0,18.0,0.16710411198600172
ANG MO KIO,CITY HALL,38.0,16.0,35.0,25.5,0.19422572178477687
ANG MO KIO,ION ORCHARD,33.0,12.0,30.0,21.0,0.21597300337457814
ANG MO KIO,SINGAPORE GENERAL HOSPITAL,47.0,12.0,26.0,19.0,0.4575217571487774
GEYLANG,CITY HALL,20.0,10.0,30.0,20.0,0.06299212598425197
GEYLANG,ION ORCHARD,31.0,12.0,30.0,21.0,0.19047619047619047
GEYLANG,SINGAPORE GENERAL HOSPITAL,26.0,12.0,26.0,19.0,0.16162453377538333
STRAITS VIEW,CITY HALL,19.0,5.0,14.0,9.5,0.3307086614173228
STRAITS VIEW,ION ORCHARD,21.0,8.0,28.0,18.0,0.10761154855643046
STRAITS VIEW,SINGAPORE GENERAL HOSPITAL,16.0,5.0,18.0,11.5,0.16775077028414925
JURONG EAST,CITY HALL,31.0,18.0,40.0,29.0,0.08145533532446375
JURONG EAST,ION ORCHARD,35.0,18.0,45.0,31.5,0.09273840769903763
JURONG EAST,SINGAPORE GENERAL HOSPITAL,24.0,14.0,35.0,24.5,0.05752852322031177
HOUGANG,CITY HALL,39.0,16.0,35.0,25.5,0.20472440944881887
HOUGANG,ION ORCHARD,42.0,14.0,35.0,24.5,0.25421822272215966
HOUGANG,SINGAPORE GENERAL HOSPITAL,38.0,16.0,30.0,23.0,0.23758986648408076
JURONG WEST,CITY HALL,47.0,22.0,45.0,33.5,0.17087789399459397
JURONG WEST,ION ORCHARD,51.0,22.0,50.0,36.0,0.17454068241469817
JURONG WEST,SINGAPORE GENERAL HOSPITAL,40.0,18.0,40.0,29.0,0.1645397773554168
CHOA CHU KANG,CITY HALL,46.0,24.0,45.0,34.5,0.1522309711286089
CHOA CHU KANG,ION ORCHARD,59.0,20.0,45.0,32.5,0.28128407026044816
CHOA CHU KANG,SINGAPORE GENERAL HOSPITAL,39.0,22.0,55.0,38.5,0.06646896410675934
KALLANG,CITY HALL,18.0,7.0,16.0,11.5,0.21431016775077028
KALLANG,ION ORCHARD,29.0,9.0,26.0,17.5,0.23892013498312714
KALLANG,SINGAPORE GENERAL HOSPITAL,23.0,10.0,22.0,16.0,0.18011811023622049
MANDAI,CITY HALL,53.0,24.0,45.0,34.5,0.2065502681730001
MANDAI,ION ORCHARD,48.0,20.0,40.0,30.0,0.2236220472440945
MANDAI,SINGAPORE GENERAL HOSPITAL,60.0,20.0,35.0,27.5,0.3793843951324265
TENGAH,CITY HALL,70.0,26.0,45.0,35.5,0.3231673505600532
TENGAH,ION ORCHARD,74.0,24.0,50.0,37.0,0.3307086614173228
TENGAH,SINGAPORE GENERAL HOSPITAL,64.0,22.0,40.0,31.0,0.3479806959613919
MARINA EAST,CITY HALL,47.0,10.0,22.0,16.0,0.5816929133858267
MARINA EAST,ION ORCHARD,56.0,14.0,40.0,27.0,0.3505395158938466
MARINA EAST,SINGAPORE GENERAL HOSPITAL,58.0,16.0,26.0,21.0,0.5346831646044243
MARINA SOUTH,CITY HALL,30.0,7.0,22.0,14.5,0.34917187075753464
MARINA SOUTH,ION ORCHARD,25.0,10.0,35.0,22.5,0.09273840769903763
MARINA SOUTH,SINGAPORE GENERAL HOSPITAL,20.0,8.0,20.0,14.0,0.17772778402699663
MUSEUM,CITY HALL,13.0,6.0,14.0,10.0,0.14330708661417324
MUSEUM,ION ORCHARD,17.0,7.0,20.0,13.5,0.13240011665208518
MUSEUM,SINGAPORE GENERAL HOSPITAL,18.0,4.0,4.0,4.0,0.9999999999999999
NOVENA,CITY HALL,18.0,10.0,35.0,22.5,0.009448818897637823
NOVENA,ION ORCHARD,13.0,8.0,26.0,17.0,0.0
NOVENA,SINGAPORE GENERAL HOSPITAL,26.0,9.0,22.0,15.5,0.2443484886969774
OUTRAM,CITY HALL,15.0,4.0,14.0,9.0,0.24146981627296588
OUTRAM,ION ORCHARD,24.0,5.0,18.0,11.5,0.3539883601506333
OUTRAM,SINGAPORE GENERAL HOSPITAL,12.0,4.0,10.0,7.0,0.25421822272215966
PAYA LEBAR,CITY HALL,53.0,10.0,18.0,14.0,0.8087739032620921
PAYA LEBAR,ION ORCHARD,62.0,12.0,24.0,18.0,0.7174103237095363
PAYA LEBAR,SINGAPORE GENERAL HOSPITAL,58.0,12.0,18.0,15.0,0.8304461942257216
RIVER VALLEY,CITY HALL,20.0,6.0,16.0,11.0,0.282032927702219
RIVER VALLEY,ION ORCHARD,19.0,3.0,9.0,6.0,0.6430446194225721
RIVER VALLEY,SINGAPORE GENERAL HOSPITAL,20.0,5.0,14.0,9.5,0.35888934935764605
ROCHOR,CITY HALL,19.0,8.0,26.0,17.0,0.09448818897637795
ROCHOR,ION ORCHARD,23.0,8.0,26.0,17.0,0.15748031496062992
ROCHOR,SINGAPORE GENERAL HOSPITAL,18.0,9.0,22.0,15.5,0.1061722123444247
SELETAR,CITY HALL,78.0,18.0,35.0,26.5,0.5832714306938047
SELETAR,ION ORCHARD,73.0,14.0,28.0,21.0,0.7259092613423321
SELETAR,SINGAPORE GENERAL HOSPITAL,71.0,14.0,24.0,19.0,0.7956900124326564
SENGKANG,CITY HALL,46.0,16.0,35.0,25.5,0.27821522309711283
SENGKANG,ION ORCHARD,50.0,16.0,45.0,30.5,0.23415515683490384
SENGKANG,SINGAPORE GENERAL HOSPITAL,45.0,16.0,40.0,28.0,0.22553430821147358
SERANGOON,CITY HALL,43.0,14.0,26.0,20.0,0.3708661417322834
SERANGOON,ION ORCHARD,37.0,10.0,22.0,16.0,0.4143700787401574
SERANGOON,SINGAPORE GENERAL HOSPITAL,43.0,10.0,18.0,14.0,0.6175478065241845
CLEMENTI,CITY HALL,30.0,14.0,30.0,22.0,0.16034359341445953
CLEMENTI,ION ORCHARD,34.0,12.0,35.0,23.5,0.18261015245434747
CLEMENTI,SINGAPORE GENERAL HOSPITAL,23.0,10.0,24.0,17.0,0.15748031496062992
TOA PAYOH,CITY HALL,32.0,10.0,22.0,16.0,0.3307086614173228
TOA PAYOH,ION ORCHARD,27.0,10.0,24.0,17.0,0.22047244094488183
TOA PAYOH,SINGAPORE GENERAL HOSPITAL,38.0,12.0,20.0,16.0,0.4311023622047244
SINGAPORE RIVER,CITY HALL,27.0,5.0,16.0,10.5,0.4836895388076491
SINGAPORE RIVER,ION ORCHARD,22.0,4.0,16.0,10.0,0.38425196850393706
SINGAPORE RIVER,SINGAPORE GENERAL HOSPITAL,19.0,3.0,9.0,6.0,0.6430446194225721
SUNGEI KADUT,CITY HALL,67.0,24.0,45.0,34.5,0.31518886226178244
SUNGEI KADUT,ION ORCHARD,62.0,20.0,45.0,32.5,0.30599636583888556
SUNGEI KADUT,SINGAPORE GENERAL HOSPITAL,82.0,22.0,50.0,36.0,0.4050743657042869
YISHUN,CITY HALL,35.0,22.0,45.0,33.5,0.0749794335409566
YISHUN,ION ORCHARD,30.0,18.0,40.0,29.0,0.07222373065435789
YISHUN,SINGAPORE GENERAL HOSPITAL,46.0,20.0,40.0,30.0,0.2057742782152231
